country,share_name,sector,industry,numbers_in_currency,currency_pair,status
norway,AFG.OL,Industrials,Engineering & Construction,NOK,NOK=X,OK
norway,AKRBP.OL,Energy,Oil & Gas E&P,USD,NOK=X,OK
norway,ATEA.OL,Technology,Information Technology Services,NOK,NOK=X,OK
norway,AUSS.OL,Consumer Defensive,Farm Products,NOK,NOK=X,OK
norway,BONHR.OL,Industrials,Conglomerates,NOK,NOK=X,OK
norway,BRG.OL,Basic Materials,Specialty Chemicals,NOK,NOK=X,OK
norway,DNO.OL,Energy,Oil & Gas E&P,USD,NOK=X,OK
norway,EPR.OL,Consumer Defensive,Discount Stores,NOK,NOK=X,OK
norway,EQNR.OL,Energy,Oil & Gas Integrated,USD,NOK=X,OK
norway,GSF.OL,Consumer Defensive,Farm Products,NOK,NOK=X,OK
norway,KOG.OL,Industrials,Aerospace & Defense,NOK,NOK=X,OK
norway,MOWI.OL,Consumer Defensive,Farm Products,EUR,NOKEUR=X,OK
norway,NHY.OL,Basic Materials,Aluminum,NOK,NOK=X,OK
norway,NOD.OL,Technology,Semiconductors,USD,NOK=X,OK
norway,ORK.OL,Consumer Defensive,Packaged Foods,NOK,NOK=X,OK
norway,SALM.OL,Consumer Defensive,Farm Products,NOK,NOK=X,OK
norway,SCATC.OL,Utilities,Utilities - Renewable,NOK,NOK=X,OK
norway,SCHA.OL,Communication Services,Publishing,NOK,NOK=X,OK
norway,TEL.OL,Communication Services,Telecom Services,NOK,NOK=X,OK
norway,TGS.OL,Energy,Oil & Gas Equipment & Services,USD,NOK=X,OK
norway,TOM.OL,Industrials,Waste Management,NOK,NOK=X,OK
norway,VEI.OL,Industrials,Engineering & Construction,NOK,NOK=X,OK
norway,WAWI.OL,Industrials,Marine Shipping,USD,NOK=X,OK
norway,WWI.OL,Industrials,Marine Shipping,USD,NOK=X,OK
norway,YAR.OL,Basic Materials,Agricultural Inputs,USD,NOK=X,OK
canada,AC.TO,Industrials,Airlines,CAD,CAD=X,OK
canada,ATRL.TO,Industrials,Engineering & Construction,CAD,CAD=X,OK
canada,ATS.TO,Industrials,Specialty Industrial Machinery,CAD,CAD=X,OK
canada,BBD-B.TO,Industrials,Aerospace & Defense,USD,CAD=X,OK
canada,CAE.TO,Industrials,Aerospace & Defense,CAD,CAD=X,OK
canada,CNR.TO,Industrials,Railroads,CAD,CAD=X,OK
canada,CP.TO,Industrials,Railroads,CAD,CAD=X,OK
canada,DOL.TO,Consumer Defensive,Discount Stores,CAD,CAD=X,OK
canada,EIF.TO,Industrials,Airlines,CAD,CAD=X,OK
canada,EMP-A.TO,Consumer Defensive,Grocery Stores,CAD,CAD=X,OK
canada,FTT.TO,Industrials,Industrial Distribution,CAD,CAD=X,OK
canada,L.TO,Consumer Defensive,Grocery Stores,CAD,CAD=X,OK
canada,MFI.TO,Consumer Defensive,Packaged Foods,CAD,CAD=X,OK
canada,MRU.TO,Consumer Defensive,Grocery Stores,CAD,CAD=X,OK
canada,PBH.TO,Consumer Defensive,Packaged Foods,CAD,CAD=X,OK
canada,RUS.TO,Industrials,Industrial Distribution,CAD,CAD=X,OK
canada,SAP.TO,Consumer Defensive,Packaged Foods,CAD,CAD=X,OK
canada,SES.TO,Industrials,Waste Management,CAD,CAD=X,OK
canada,SJ.TO,Industrials,Lumber & Wood Production,CAD,CAD=X,OK
canada,STN.TO,Industrials,Engineering & Construction,CAD,CAD=X,OK
canada,TFII.TO,Industrials,Trucking,USD,CAD=X,OK
canada,TIH.TO,Industrials,Industrial Distribution,CAD,CAD=X,OK
canada,WCN.TO,Industrials,Waste Management,USD,CAD=X,OK
canada,WN.TO,Consumer Defensive,Grocery Stores,CAD,CAD=X,OK
canada,WSP.TO,Industrials,Engineering & Construction,CAD,CAD=X,OK