ticker;report;date;rev;cost_sale;r_d;sale_gen_adm;inpairm;other_charg;op_income;int_income;int_exp;inc_b_tax;inc_tax_exp;net_inc;shares;eps_nor;eps_dil;cash_cash_eq;short_inv;acc_rec;invent;other_curr_ass;tot_curr_ass;ppe_net;goodwill;intang_ass;other_ass;tot_ass;short_debt;acc_pay;other_curr_liab;tot_curr_liab;tot_long_debt;other_liab;tot_equity;tot_liab;depr_amort;stock_b_comp
TSN;Q;2002-01-01;5865;5355;0;237;0;0;273;0;79;194;67;127;355;0.36;0.36;92;0;1121;1907;56;3176;4088;2756;0;423;10443;453;820;940;2213;3895;237;3473;6970;117;0
TSN;Q;2002-04-01;5839;5442;0;218;0;0;179;0;76;103;38;65;355;0.19;0.18;50;0;1112;1945;57;3164;4115;2619;0;576;10474;526;743;1051;2320;3775;236;3525;6949;115;0
TSN;Q;2002-07-01;5902;5438;0;217;0;4;247;0;76;167;60;107;355;0.04;0.036;48;0;1232;1878;72;3230;4151;2633;0;580;10594;493;790;1065;2348;3765;231;3612;6982;124;0
TSN;Q;2002-10-01;5761;5315;0;205;0;49;188;0;74;129;45;84;355;0.51;0.504;51;0;1101;1885;107;3144;4038;2633;0;557;10372;254;755;1084;2093;3733;241;3662;6710;111;0
TSN;K;2002-10-01;23367;21550;0;877;0;53;887;0;305;593;210;383;355;1.1;1.08;51;0;1101;1885;107;3144;4038;2633;0;557;10372;254;755;1084;2093;3733;241;3662;6710;467;0
TSN;Q;2003-01-01;5802;5402;0;208;0;47;145;0;79;61;22;39;354;0.11;0.11;76;0;1257;1876;137;3346;4020;2633;0;544;10543;276;806;1100;2182;3797;246;3677;6866;116;2.5
TSN;Q;2003-04-01;5845;5465;0;197;0;0;183;0;71;111;39;72;352;0.04;0.036;71;0;1178;1866;111;3226;3993;2634;186;324;10363;137;749;1084;1970;3769;240;3738;6625;112;2.5
TSN;Q;2003-07-01;6330;5892;0;218;0;19;201;0;69;123;44;79;351;0.04;0.036;100;0;1308;1936;121;3465;4031;2634;184;342;10656;192;803;1115;2110;3798;233;3825;6831;110;2.5
TSN;Q;2003-10-01;6572;6046;0;208;0;10;308;0;77;228;81;147;352;0.79;0.778;25;0;1280;1994;72;3371;4039;2652;182;242;10486;490;838;1147;2475;3114;221;3954;6532;120;2.5
TSN;K;2003-10-01;24549;22805;0;831;0;76;837;0;296;523;186;337;352;0.98;0.96;25;0;1280;1994;72;3371;4039;2652;182;242;10486;490;838;1147;2475;3114;221;3954;6532;458;10
TSN;Q;2004-01-01;6505;6111;0;208;0;47;161;0;69;89;32;57;356;0.04;0.036;40;0;1266;1977;97;3380;4051;2561;180;247;10419;408;991;1024;2423;3082;225;4013;6406;119;2.5
TSN;Q;2004-04-01;6153;5668;0;208;0;14;263;0;72;188;69;119;356;0.04;0.036;70;0;1158;1901;147;3276;3993;2561;178;224;10232;399;792;1056;2247;2986;178;4144;6088;119;2.5
TSN;Q;2004-07-01;6634;6084;0;226;0;1;323;0;67;258;97;161;358;0.04;0.036;51;0;1247;2076;166;3540;3984;2561;176;276;10537;538;905;1188;2631;2785;183;4256;6281;121;2.5
TSN;Q;2004-10-01;7149;6687;0;238;0;24;178;0;67;100;34;66;357;1.08;1.022;33;0;1240;2063;196;3532;3964;2558;149;261;10464;338;945;1010;2293;3024;160;4292;6172;131;2.5
TSN;K;2004-10-01;26441;24550;0;880;0;86;925;0;275;635;232;403;357;1.2;1.13;33;0;1240;2063;196;3532;3964;2558;149;261;10464;338;945;1010;2293;3024;160;4292;6172;490;10
TSN;Q;2005-01-01;6452;6089;0;231;0;3;129;0;58;76;28;48;356;0.04;0.036;41;0;1168;2021;131;3361;3957;2558;147;321;10344;364;1006;1070;2440;2706;165;4342;6002;126;4
TSN;Q;2005-04-01;6359;5937;0;237;0;2;183;0;58;120;44;76;357;0.23;0.21;35;0;1115;2085;147;3382;3936;2554;146;353;10371;499;840;1064;2403;2.703;167;4714;5657;125;4
TSN;Q;2005-07-01;6708;6182;0;220;0;43;263;0;56;201;70;131;358;0.39;0.39;32;0;1190;2022;115;3359;3972;2529;144;362;10366;302;896;1182;2380;2593;174;4528;5838;126;4
TSN;Q;2005-10-01;6495;6066;0;240;0;-1;190;0;55;131;33;98;357;0.39;0.354;40;0;1214;2062;169;3485;4007;2502;142;368;10504;126;961;1070;2157;2869;169;4652;5852;124;4
TSN;K;2005-10-01;26014;24274;0;928;0;47;765;0;227;528;175;353;357;1.05;0.99;40;0;1214;2062;169;3485;4007;2502;142;368;10504;126;961;1070;2157;2869;169;4652;5852;501;16
TSN;Q;2006-01-01;6454;6106;0;234;0;0;114;6;51;60;21;39;358;0.12;0.11;30;0;1254;2154;182;3620;4069;2502;141;367;10699;878;1155;1030;3063;2110;168;4711;5988;125;4.5
TSN;Q;2006-04-01;6251;6098;0;236;0;59;-142;6;58;-200;-73;-127;346;-0.38;-0.37;39;751;1145;2118;118;4171;4050;2502;140;409;11272;803;990;978;2771;3183;165;4577;6695;128;4.5
TSN;Q;2006-07-01;6383;6180;0;230;0;-2;-25;11;74;-76;-24;-52;345;-0.15;-0.15;44;760;1209;2095;113;4221;4040;2500;139;346;11246;1049;954;914;2917;3063;167;4510;6736;130;7
TSN;Q;2006-10-01;6471;6247;0;235;0;13;-24;7;170;-77;344;-51;345;-0.17;-0.17;28;770;1183;2057;149;4187;3945;2512;136;341;11121;992;942;912;2846;2987;353;4440;6681;134;6
TSN;K;2006-10-01;25559;24631;0;935;0;70;-77;30;268;-293;-102;-191;345;-0.58;-0.58;28;770;1183;2057;149;4187;3945;2512;136;341;11121;992;942;912;2846;2987;353;4440;6681;517;22
TSN;Q;2007-01-01;6558;6221;0;190;0;2;145;2;61;86;29;57;353;0.17;0.16;45;0;1135;2046;139;3365;3854;2512;135;331;10197;184;1064;770;2018;2777;438;4511;5686;128;5.5
TSN;Q;2007-04-01;6501;6138;0;205;0;0;158;2;58;107;39;68;354;0.2;0.19;34;0;1176;2140;88;3438;3786;2511;128;331;10194;187;960;845;1992;2755;435;4577;5617;128;5.5
TSN;Q;2007-07-01;6958;6531;0;218;0;0;209;2;57;161;50;111;356;0.32;0.31;48;0;1306;2201;97;3652;3697;2512;128;327;10316;150;997;802;1949;2827;452;4683;5633;130;5.5
TSN;Q;2007-10-01;6883;6577;0;204;0;0;102;2;56;56;114;32;355;0.1;0.0900000000000001;42;0;1246;2238;70;3596;3693;2485;126;327;10227;137;1050;928;2115;2642;372;4731;5496;128;5.5
TSN;K;2007-10-01;26900;25467;0;817;0;2;614;8;232;410;142;268;355;0.79;0.75;42;0;1246;2238;70;3596;3693;2485;126;327;10227;137;1050;928;2115;2642;372;4731;5496;514;22
TSN;Q;2008-01-01;6766;6461;0;215;0;6;84;2.25;53;52;18;34;355;0.1;0.1;55;0;1184;2250;152;3641;3661;2487;125;336;10250;132;1192;803;2127;2574;457;4752;5498;127;5.25
TSN;Q;2008-04-01;6612;6306;0;232;0;30;44;2.25;55;-8;-3;-5;350;0.02;0.02;53;0;1074;2439;213;3779;3615;2487;125;361;10367;265;1014;830;2109;2689;454;4754;5613;124;5.25
TSN;Q;2008-07-01;6849;6590;0;214;0;9;45;2.25;51;-2;1;9;350;0.03;0.03;55;0;1252;2473;192;4135;3535;2500;123;355;10648;353;1123;854;2330;2725;485;4775;5873;123;5.25
TSN;Q;2008-10-01;6635;6259;0;218;0;-9;158;2.25;56;112;199;48;356;0.1;0.09;250;0;1271;2538;143;4361;3519;2511;128;331;10850;8;1217;878;2103;2888;554;5014;5836;119;5.25
TSN;K;2008-10-01;26862;25616;0;879;0;36;331;9;215;154;68;86;356;0.25;0.24;250;0;1271;2538;143;4361;3519;2511;128;331;10850;8;1217;878;2103;2888;554;5014;5836;493;21
TSN;Q;2009-01-01;6521;6503;0;216;0;0;-198;4.25;63;-275;-155;-112;373;-0.3;-0.3;166;0;1106;2233;267;3897;3524;2520;152;306;10484;17;1094;747;1858;2997;564;4794;5690;118;4.75
TSN;Q;2009-04-01;6307;6054;0;209;0;15;29;4.25;74;-43;47;-104;373;-0.29;-0.28;817;0;1083;2064;162;4360;3484;2470;148;399;10937;275;957;778;2010;3477;586;4633;6304;127;4.75
TSN;Q;2009-07-01;6662;6192;0;192;0;2;276;4.25;88;196;70;134;378;0.37;0.35;845;0;1126;2079;121;4311;3474;2462;148;432;10887;182;924;797;1903;3336;585;4815;6072;126;4.75
TSN;Q;2009-10-01;7214;6752;0;224;560;0;-322;4.25;85;-404;348;-455;372;-1.25;-1.21;1004;0;1100;2009;122;4375;3576;1917;187;497;10595;219;1013;761;1993;3333;539;4352;6243;125;4.75
TSN;K;2009-10-01;26704;25501;0;841;560;17;-215;17;310;-526;14;-537;372;-1.47;-1.44;1004;0;1100;2009;122;4375;3576;1917;187;497;10595;219;1013;761;1993;3333;539;4352;6243;496;19
TSN;Q;2010-01-01;6635;6106;0;215;0;0;314;3.5;80;236;77;160;377;0.44;0.42;1364;0;1052;1942;128;4626;3589;1918;181;515;10851;227;1001;967;2195;3189;520;4573;6278;123;2.25
TSN;Q;2010-04-01;6916;6352;0;220;0;0;344;3.5;100;249;93;159;378;0.43;0.42;812;0;1125;2112;180;4229;3628;1918;176;460;10411;90;963;864;1917;2889;508;4723;5688;124;2.25
TSN;Q;2010-07-01;7438;6686;0;245;0;0;507;3.5;102;395;153;248;382;0.68;0.65;834;0;1229;2132;169;4364;3631;1916;168;388;10467;93;996;1073;2162;2489;513;4956;5511;125;2.25
TSN;Q;2010-10-01;7441;6772;0;249;29;0;391;3.5;65;323;115;213;379;0.58;0.57;978;0;1198;2274;168;4618;3674;1893;166;401;10752;401;1110;1034;2545;2135;486;5201;5551;125;2.25
TSN;K;2010-10-01;28430;25916;0;929;29;0;1556;14;347;1203;438;780;379;2.13;2.06;978;0;1198;2274;168;4618;3674;1893;166;401;10752;401;1110;1034;2545;2135;486;5201;5551;497;7
TSN;Q;2011-01-01;7615;6871;0;246;0;0;498;2.25;66;445;151;294;379;0.81;0.78;1122;0;1180;2489;162;4953;3714;1894;163;466;11190;424;1212;1009;2645;2124;520;5484;5706;128;4.25
TSN;Q;2011-04-01;8000;7467;0;230;0;0;303;2.25;63;241;85;156;383;0.43;0.42;794;0;1256;2730;157;4937;3762;1895;161;471;11226;390;1126;963;2479;2105;500;5688;5538;128;4.25
TSN;Q;2011-07-01;8247;7716;0;219;0;0;312;2.25;58;263;75;188;383;0.53;0.51;981;0;1334;2711;146;5172;3802;1895;158;461;11488;362;1193;1206;2761;2094;457;5783;5705;128;4.25
TSN;Q;2011-10-01;8404;8013;0;219;0;0;172;2.25;55;125;30;112;380;0.27;0.26;716;0;1321;2587;156;4780;3823;1892;149;427;11071;70;1264;1040;2374;2112;476;5685;5386;122;4.25
TSN;K;2011-10-01;32266;30067;0;914;0;0;1285;11;242;1074;341;750;380;2.04;1.97;716;0;1321;2587;156;4780;3823;1892;149;427;11071;70;1264;1040;2374;2112;476;5685;5386;506;18
TSN;Q;2012-01-01;8329;7836;0;215;0;0;278;3;49;243;87;156;376;0.43;0.42;857;0;1281;2598;122;4858;3888;1891;145;445;11227;84;1358;932;2374;2131;493;5809;5418;122;4.25
TSN;Q;2012-04-01;8268;7733;0;233;0;0;302;3;52;257;91;166;373;0.47;0.44;723;0;1253;2622;152;4750;3943;1892;143;442;11170;84;1191;895;2170;2136;496;5935;5235;123;4.25
TSN;Q;2012-07-01;8308;7746;0;226;0;0;336;3;215;126;53;73;369;0.21;0.21;828;0;1350;2672;155;5005;3992;1891;136;437;11461;119;1189;913;2221;2345;517;5905;5556;124;4.25
TSN;Q;2012-10-01;8373;7803;0;238;0;0;332;3;40;301;120;181;370;0.53;0.51;1071;0;1378;2809;145;5403;4022;1891;129;451;11896;515;1372;943;2830;1917;549;6042;5854;130;4.25
TSN;K;2012-10-01;33278;31118;0;912;0;0;1248;12;356;927;351;576;370;1.64;1.58;1071;0;1378;2809;145;5403;4022;1891;129;451;11896;515;1372;943;2830;1917;549;6042;5854;499;17
TSN;Q;2013-01-01;8402;7865;0;237;0;0;300;1.75;37;264;96;168;362;0.5;0.48;951;0;1365;2932;139;5387;4043;1891;126;427;11874;519;1435;892;2846;1907;527;6058;5816;130;9
TSN;Q;2013-04-01;8419;8011;0;234;0;0;174;1.75;36;159;53;95;366;0.27;0.26;762;0;1428;2921;188;5299;4002;1892;115;481;11789;512;1265;955;2732;1904;541;6114;5675;129;9
TSN;Q;2013-07-01;8731;8049;0;263;0;0;419;1.75;36;385;136;249;369;0.72;0.68;943;0;1454;2901;229;5527;4042;1903;143;487;12102;508;1309;1121;2938;1899;551;6247;5855;128;9
TSN;Q;2013-10-01;8822;8091;0;249;0;0;482;1.75;36;449;124;266;367;0.77;0.7;1145;0;1497;2817;145;5604;4053;1902;138;480;12177;513;1359;1138;3010;1895;560;6233;5944;132;9
TSN;K;2013-10-01;34374;32016;0;983;0;0;1375;7;145;1257;409;778;367;2.26;2.12;1145;0;1497;2817;145;5604;4053;1902;138;480;12177;513;1359;1138;3010;1895;560;6233;5944;519;36
TSN;Q;2014-01-01;8761;8076;0;273;0;0;412;1.75;28;383;131;254;354;0.76;0.72;825;0;1497;2778;130;5230;4072;1907;133;502;11844;52;1477;1077;2606;1890;582;6316;5528;127;12.75
TSN;Q;2014-04-01;9032;8381;0;290;0;0;361;1.75;25;341;131;213;356;0.64;0.6;438;0;1548;2968;230;5184;4105;1925;156;516;11886;52;1429;1024;2505;1888;585;6464;5422;127;12.75
TSN;Q;2014-07-01;9682;9045;0;286;0;0;351;1.75;25;310;52;260;356;0.75;0.73;587;0;1624;3061;241;5513;3941;1925;151;525;12055;41;1496;1075;2612;1784;545;6710;5345;128;12.75
TSN;Q;2014-10-01;10105;9393;0;406;0;0;306;1.75;54;218;82;129;364;0.33;0.32;438;0;1684;3274;379;6221;5130;6706;5276;623;23956;643;1806;1207;3797;7535;1270;8904;15052;148;12.75
TSN;K;2014-10-01;37580;34895;0;1255;0;0;1430;7;132;1252;396;856;364;2.48;2.37;438;0;1684;3274;379;6221;5130;6706;5276;623;23956;643;1806;1207;3797;7535;1270;8904;15052;530;51
TSN;Q;2015-01-01;10817;9861;0;447;0;0;509;2.25;77;435;125;309;416;0.77;0.74;381;0;1777;3192;375;5938;5211;6700;5246;663;23758;596;2147;1157;3954;6931;1263;9137;14621;175;17.25
TSN;Q;2015-04-01;9979;8990;0;442;0;0;547;2.25;71;483;172;311;415;0.78;0.75;223;0;1632;3262;346;5668;5278;6689;5223;668;23526;1236;1694;1072;4051;6438;1215;9370;14156;172;17.25
TSN;Q;2015-07-01;10071;9085;0;423;0;0;563;2.25;73;518;174;343;414;0.86;0.83;471;0;1633;3082;214;5589;5312;6690;5202;650;23443;1205;1621;1150;4028;6029;1256;9683;13760;177;17.25
TSN;Q;2015-10-01;10506;9520;0;436;0;0;550;2.25;72;485;226;257;413;0.65;0.63;688;0;1620;2878;195;5381;5176;6667;5168;612;23004;715;1662;1158;3535;6010;1304;9706;13298;187;17.25
TSN;K;2015-10-01;41373;37456;0;1748;0;0;2169;9;293;1921;697;1220;413;3.06;2.95;688;0;1620;2878;195;5381;5176;6667;5168;612;23004;715;1662;1158;3535;6010;1304;9706;13298;711;69
TSN;Q;2016-01-01;9152;7951;0;425;0;0;776;1.5;67;712;251;461;400;1.18;1.15;1187;0;1514;2818;158;5677;5184;6669;5145;615;23290;717;1781;1170;3668;5988;1343;9777;13513;172;20.25
TSN;Q;2016-04-01;9170;7987;0;479;0;0;704;1.5;64;644;210;432;393;1.14;1.1;254;0;1493;2993;187;4927;5166;6670;5125;623;22511;79;1456;1075;2610;6270;1308;9807;12704;176;20.25
TSN;Q;2016-07-01;9403;8179;0;457;0;0;767;1.5;60;711;226;485;388;1.29;1.25;197;0;1599;2918;167;4881;5157;6669;5104;599;22410;79;1466;1168;2713;6099;1306;9806;12604;178;20.25
TSN;Q;2016-10-01;9156;8067;0;503;0;0;586;1.5;58;531;139;394;390;1.06;1.03;349;0;1542;2732;265;4888;5170;6669;5084;562;22373;79;1511;1172;2762;6200;1242;9624;12749;179;20.25
TSN;K;2016-10-01;36881;32184;0;1864;0;0;2833;6;249;2598;826;1772;390;4.67;4.53;349;0;1542;2732;265;4888;5170;6669;5084;562;22373;79;1511;1172;2762;6200;1242;9624;12749;705;81
TSN;Q;2017-01-01;9182;7699;0;501;0;0;982;1.75;58;912;318;593;373;1.64;1.59;307;0;1512;2767;156;4742;5206;6669;5064;576;22257;66;1591;1315;2972;5901;1279;9567;12690;177;23
TSN;Q;2017-04-01;9083;8036;0;476;0;0;571;1.75;56;519;178;340;370;0.95;0.92;243;0;1589;2970;215;5017;5283;6669;5036;591;22596;543;1466;1097;3106;5905;1280;9789;12807;179;23
TSN;Q;2017-07-01;9850;8648;0;505;0;0;697;1.75;71;617;169;447;370;1.24;1.21;231;0;1710;3248;238;6288;5545;9264;6372;594;28063;1017;1608;1217;3865;9807;1265;10137;17926;187;23
TSN;Q;2017-10-01;10145;8794;0;670;0;0;681;1.75;94;580;185;398;370;1.11;1.07;318;0;1675;3239;219;6258;5568;9324;6243;673;28066;906;1698;1424;4032;9297;1199;10559;17507;218;23
TSN;K;2017-10-01;38260;33177;0;2152;0;0;2931;7;279;2628;850;1778;370;4.94;4.79;318;0;1675;3239;219;6258;5568;9324;6243;673;28066;906;1698;1424;4032;9297;1199;10559;17507;761;92
TSN;Q;2018-01-01;10229;8778;0;524;0;0;927;1.75;88;842;-790;1632;371;4.54;4.4;293;0;1600;3213;172;5993;5673;9404;6282;694;28046;811;1748;1413;3978;8875;1206;11974;16072;229;17.25
TSN;Q;2018-04-01;9773;8753;0;522;0;0;498;1.75;86;423;107;316;370;0.88;0.85;198;0;1594;3328;228;5990;5755;9404;6231;711;28091;1128;1485;1217;3838;8872;1186;12156;15935;230;17.25
TSN;Q;2018-07-01;10051;8745;0;504;0;0;802;1.75;89;723;181;541;369;1.52;1.47;170;0;1684;3378;196;6077;5925;9498;6405;733;28638;1308;1546;1251;4112;8852;1187;12437;16201;238;17.25
TSN;Q;2018-10-01;9999;8650;0;521;0;0;828;1.75;87;757;220;535;369;1.5;1.47;270;0;1723;3513;182;5688;6169;9739;6759;754;29109;1911;1694;1426;5031;7962;1198;12811;16298;246;17.25
TSN;K;2018-10-01;40052;34926;0;2071;0;0;3055;7;350;2745;-282;3024;369;8.44;8.19;270;0;1723;3513;182;5688;6169;9739;6759;754;29109;1911;1694;1426;5031;7962;1198;12811;16298;943;69
TSN;Q;2019-01-01;10193;8838;0;548;0;0;807;2.75;99;713;161;551;366;1.54;1.5;400;0;1892;3777;232;6301;7018;10814;7441;761;32335;3917;1962;1551;7430;8075;1241;13259;19076;250;19.25
TSN;Q;2019-04-01;10443;9251;0;557;0;0;635;2.75;119;528;98;426;366;1.2;1.17;360;0;1837;3899;280;6376;7085;10946;7295;796;32498;1564;1710;1340;4614;10810;1238;13558;18940;273;19.25
TSN;Q;2019-07-01;10885;9549;0;555;0;0;781;2.75;121;724;43;676;367;1.9;1.84;406;0;2452;4149;426;7433;7271;10944;7206;811;33665;2125;1958;1514;5597;10461;1128;14141;19524;286;19.25
TSN;Q;2019-10-01;10884;9745;0;535;0;0;604;2.75;123;466;94;382;366;1.03;1.01;484;0;2173;4108;404;7169;7282;10844;7037;765;33097;2102;1926;1485;5513;9830;1172;14226;18871;289;19.25
TSN;K;2019-10-01;42405;37383;0;2195;0;0;2827;11;462;2431;396;2035;366;5.67;5.52;484;0;2173;4108;404;7169;7282;10844;7037;765;33097;2102;1926;1485;5513;9830;1172;14226;18871;1098;77
TSN;Q;2020-01-01;10815;9375;0;614;0;0;826;2.5;120;725;164;557;367;1.56;1.52;497;0;2063;4304;329;7193;7384;10862;6975;1397;33811;1947;1916;1673;5536;9772;1568;14566;19245;288;22.25
TSN;Q;2020-04-01;10888;9867;0;520;0;0;501;2.5;119;491;124;367;365;1.03;1;437;0;2248;4025;389;7099;7464;10847;6898;1582;33890;1142;1742;1522;4406;10978;1528;14449;19441;293;22.25
TSN;Q;2020-07-01;10022;8709;0;538;0;0;775;2.5;122;667;140;527;364;1.48;1.44;1365;0;2064;3915;355;7699;7515;10890;6842;1612;34558;750;1743;1780;4273;11279;1632;15004;19554;295;22.25
TSN;Q;2020-10-01;11460;9850;0;598;0;0;1012;2.5;124;887;192;689;365;1.95;1.9;1420;0;1952;4144;367;7883;7596;10899;6774;1589;34741;548;1876;1810;4234;10791;1728;15597;19144;316;22.25
TSN;K;2020-10-01;43185;37801;0;2270;0;0;3114;10;485;2770;620;2140;365;6.02;5.86;1420;0;1952;4144;367;7883;7596;10899;6774;1589;34741;548;1876;1810;4234;10791;1728;15597;19144;1192;89
TSN;Q;2021-01-01;10460;9283;0;472;0;0;705;2;110;616;144;467;365;1.31;1.28;2406;0;1900;3915;323;8544;7664;10913;6719;1618;35458;566;1997;2286;4849;10791;1706;15781;19677;298;22.75
TSN;Q;2021-04-01;11300;10047;0;533;0;0;720;2;110;624;147;476;365;1.34;1.3;877;0;2113;4128;896;8014;7661;10555;6649;1595;34474;580;1900;2132;4612;9784;1668;16070;18404;306;22.75
TSN;Q;2021-07-01;12478;10858;0;558;0;0;1062;2;105;966;213;749;366;2.11;2.05;1613;0;2324;4262;1009;9208;7725;10554;6587;1589;35663;1566;1950;2668;6184;8786;1692;16693;18970;302;22.75
TSN;Q;2021-10-01;12811;10335;0;567;0;0;1909;2;103;1835;477;1355;365;3.81;3.71;2507;0;2400;4382;533;9822;7837;10549;6519;1582;36309;1067;2225;3033;6325;8281;1654;17854;18455;308;22.75
TSN;K;2021-10-01;47049;40523;0;2130;0;0;4396;8;428;4041;981;3047;365;8.57;8.34;2507;0;2400;4382;533;9822;7837;10549;6519;1582;36309;1067;2225;3033;6325;8281;1654;17854;18455;1214;91
TSN;Q;2022-01-01;12933;10918;0;560;0;0;1455;4.25;100;1410;284;1121;365;3.16;3.07;2956;0;2091;4454;635;10136;8012;10550;6459;1667;36824;1090;2115;2829;6034;8274;1700;18542;18282;300;23.25
TSN;Q;2022-04-01;13117;11382;0;579;0;0;1156;4.25;97;1087;254;833;364;2.34;2.28;1151;0;2408;4990;448;8997;8193;10548;6397;1763;35898;79;2269;2309;4657;8270;1518;19156;16742;295;23.25
TSN;Q;2022-07-01;13495;11884;0;578;0;0;1033;4.25;85;986;233;750;362;2.14;2.07;1056;0;2518;5332;397;9303;8393;10531;6325;1693;36245;67;2306;2309;4682;8261;1474;19489;16756;297;23.25
TSN;Q;2022-10-01;13737;12430;0;541;0;0;766;4.25;83;666;129;534;363;1.54;1.5;1031;0;2577;5514;508;9630;8685;10513;6252;1741;36821;459;2483;2371;5313;7862;1377;19811;17010;310;23.25
TSN;K;2022-10-01;53282;46614;0;2258;0;0;4410;17;365;4149;900;3238;363;9.18;8.92;1031;0;2577;5514;508;9630;8685;10513;6252;1741;36821;459;2483;2371;5313;7862;1377;19811;17010;1202;93
TSN;Q;2023-01-01;13260;12292;0;501;0;0;467;9;84;434;114;320;358;0.91;0.88;654;0;2295;5596;408;8953;9120;10550;6213;1842;36678;490;2530;2094;5114;7859;1445;19787;16891;303;29
TSN;Q;2023-04-01;13133;12606;0;576;0;0;-49;7;89;-130;-39;-97;354;-0.28;-0.28;543;0;2433;5504;412;8892;9351;10550;6157;1846;36796;1065;2387;1894;5346;7865;1589;19558;17238;317;17
TSN;Q;2023-07-01;13140;12463;0;579;448;0;-350;6;89;-427;9;-435;354;-1.18;-1.18;699;0;2451;5391;342;8883;9612;10211;6155;1900;36761;457;2421;2070;4948;8863;1599;18910;17851;323;2